code,month,year,total_flights,total_delays,total_time,ratio_delayed
DEN,August,2012,21763,3514,194186,16.14667095529109
IAD,August,2012,6506,1554,104706,23.885644020903783
ORD,August,2012,28106,5696,397198,20.26613534476624
SAN,August,2012,6867,1277,68662,18.596184651230523
SFO,August,2012,15716,4728,317437,30.083990837363196
SLC,August,2012,9821,1126,57306,11.465227573566846
ATL,September,2012,31593,3780,223268,11.96467571930491
DEN,September,2012,18795,2289,112687,12.17877094972067
IAD,September,2012,6577,1155,69514,17.561198114641936
ORD,September,2012,25694,4680,270707,18.214369113411692
SAN,September,2012,6185,974,47013,15.747776879547292
SFO,September,2012,14184,4493,273764,31.676536943034407
SLC,September,2012,8871,657,35173,7.406154886709502
ATL,October,2012,33102,4852,257709,14.657724608784967
DEN,October,2012,19305,2904,130725,15.042735042735043
IAD,October,2012,6873,970,57673,14.113196566273825
ORD,October,2012,27000,5817,381337,21.544444444444444
SAN,October,2012,6427,1216,60346,18.92018048856387
SFO,October,2012,14756,4876,305621,33.044185416101925
SLC,October,2012,9164,1024,48590,11.174159755565254
ATL,November,2012,31061,2923,162964,9.410514793470911
DEN,November,2012,17851,2100,104140,11.764046832110246
IAD,November,2012,6207,777,46556,12.518124697921701
ORD,November,2012,24620,3466,237211,14.077985377741673
SAN,November,2012,6087,893,46890,14.670609495646458
SFO,November,2012,13645,3359,255970,24.617075851960422
SLC,November,2012,8551,827,44100,9.671383463922348
ATL,December,2012,31019,4825,278180,15.554982430123474
DEN,December,2012,18601,4747,244534,25.52013332616526
IAD,December,2012,6197,1200,75343,19.364208487978054
ORD,December,2012,23741,5166,353592,21.759824775704477
SAN,December,2012,6324,1596,73476,25.23719165085389
SFO,December,2012,13823,4514,322839,32.65571872965348
SLC,December,2012,8872,1684,79481,18.981064021641117
ATL,January,2013,32355,4472,271374,13.821665893988563
DEN,January,2013,17809,3602,178319,20.22572856420911
IAD,January,2013,6024,918,54580,15.239043824701195
ORD,January,2013,23878,5310,350151,22.238043387218358
SAN,January,2013,6120,886,39984,14.477124183006538
SFO,January,2013,13214,2136,108983,16.16467383078553
SLC,January,2013,9058,1686,101104,18.6133804371826
ATL,February,2013,29447,4345,236096,14.755323122898767
DEN,February,2013,16616,3196,177546,19.234472797303802
IAD,February,2013,5366,988,57423,18.412225121133062
ORD,February,2013,22179,5942,408233,26.791108706434013
SAN,February,2013,5609,776,35842,13.834908183276875
SFO,February,2013,12026,2038,114127,16.94661566605688
SLC,February,2013,8262,1085,56006,13.132413459210845
ATL,March,2013,34682,5479,337684,15.79782019491379
DEN,March,2013,19520,3948,237356,20.225409836065573
IAD,March,2013,6231,1179,70010,18.921521425132404
ORD,March,2013,25505,5149,329196,20.188198392472064
SAN,March,2013,6496,1096,50995,16.871921182266007
SFO,March,2013,13871,2989,190212,21.54855453824526
SLC,March,2013,10092,1292,67608,12.80221957986524
ATL,April,2013,33654,5384,315186,15.998098294407798
DEN,April,2013,18451,4330,267467,23.467562733727167
IAD,April,2013,6160,1193,76360,19.366883116883116
ORD,April,2013,26046,7097,645969,27.247945941795287
SAN,April,2013,6393,1317,60024,20.60065696855936
SFO,April,2013,13715,3679,223970,26.824644549763033
SLC,April,2013,9425,1299,66589,13.782493368700266
ATL,May,2013,34412,5480,320885,15.924677438102988
DEN,May,2013,19060,3636,202370,19.07660020986359
IAD,May,2013,6482,1532,93156,23.6346806541191
ORD,May,2013,27023,6550,496258,24.238611553121416
SAN,May,2013,6612,1016,49777,15.366001209921354
SFO,May,2013,14300,3318,223148,23.202797202797203
SLC,May,2013,9378,1017,51733,10.844529750479847
ATL,June,2013,34436,9474,666436,27.511906144732258
DEN,June,2013,19536,4650,278359,23.8022113022113
IAD,June,2013,6527,1835,127799,28.11398804963996
ORD,June,2013,27274,8585,679604,31.47686441299406
SAN,June,2013,6763,1693,89782,25.033269259204495
SFO,June,2013,14768,4940,387318,33.45070422535211
SLC,June,2013,9994,1393,81328,13.938363017810687
ATL,July,2013,35541,10827,757977,30.463408457837428
DEN,July,2013,20254,4832,285643,23.857015898094204
IAD,July,2013,6559,1834,117022,27.961579509071505
ORD,July,2013,27970,6767,417557,24.19377904898105
SAN,July,2013,7015,1510,78925,21.525302922309336
SFO,July,2013,15401,5688,467629,36.9326667099539
SLC,July,2013,10328,1473,82074,14.262199845081334
ATL,August,2013,35139,6985,386471,19.878198013603118
DEN,August,2013,20027,4306,230477,21.500973685524542
IAD,August,2013,6509,1217,72063,18.69718850821939
ORD,August,2013,27714,5596,355968,20.19196074186332
SAN,August,2013,6850,1489,71394,21.73722627737226
SFO,August,2013,15478,5411,359038,34.959297066804496
SLC,August,2013,10402,1228,66454,11.805422034224188
ATL,September,2013,32046,3940,212088,12.294826187355676
DEN,September,2013,18823,3667,202709,19.481485416777346
IAD,September,2013,6118,926,58106,15.135665250081725
ORD,September,2013,25285,3473,257655,13.735416254696462
SAN,September,2013,6166,1171,54294,18.991242296464485
SFO,September,2013,13903,3488,238489,25.088110479752572
SLC,September,2013,9137,970,51669,10.616175987742148
ATL,October,2013,33810,3668,194893,10.848861283643894
DEN,October,2013,19405,3459,162692,17.825302757021387
IAD,October,2013,6513,915,51949,14.048825426070936
ORD,October,2013,26539,4510,246167,16.99385809563284
SAN,October,2013,6383,1232,49147,19.301268995770013
SFO,October,2013,14295,2844,181717,19.895068205666316
SLC,October,2013,9264,897,41022,9.682642487046632
ATL,November,2013,31466,4714,252055,14.981249602745821
DEN,November,2013,17962,2848,146895,15.85569535686449
IAD,November,2013,5887,901,54416,15.304909121793782
ORD,November,2013,24033,4045,252473,16.831024008654765
SAN,November,2013,6029,1023,45755,16.967988057721016
SFO,November,2013,13289,2294,131289,17.262397471593047
SLC,November,2013,8510,809,43203,9.506462984723854
ATL,December,2013,31894,7524,415453,23.59064400827742
DEN,December,2013,19028,6423,357353,33.75551818372924
IAD,December,2013,5789,1356,85410,23.423734669200208
ORD,December,2013,23086,7446,468194,32.253313696612665
SAN,December,2013,6243,1751,82541,28.047413102674994
SFO,December,2013,13809,3138,166582,22.724310232457093
SLC,December,2013,8737,2265,136451,25.92423028499485
