code,month,year,total_flights,total_delays,total_time,ratio_delayed
ATL,June,2005,37209,10986,630716,29.525114891558495
DEN,June,2005,16953,3310,183097,19.52456792308146
IAD,June,2005,10743,2926,196285,27.236339942288
ORD,June,2005,27756,7643,480472,27.536388528606427
SAN,June,2005,7574,1661,78675,21.930287826775814
SFO,June,2005,11089,2978,158460,26.85544233023717
SLC,June,2005,13860,2203,98063,15.894660894660895
ATL,July,2005,37584,13699,989367,36.449020859940404
DEN,July,2005,17989,3323,187112,18.472399799877703
IAD,July,2005,11152,3245,218403,29.09791965566714
ORD,July,2005,28283,7641,557902,27.016228830039246
SAN,July,2005,7862,1769,91481,22.500635970490972
SFO,July,2005,11579,2548,146341,22.005354521115812
SLC,July,2005,14472,2257,106114,15.595632946379215
ATL,August,2005,37886,12861,810633,33.94657657182073
DEN,August,2005,17827,2682,131957,15.044595276827286
IAD,August,2005,11064,2133,111064,19.27874186550976
ORD,August,2005,28662,5533,308603,19.304305352034053
SAN,August,2005,7946,1629,72704,20.50088094638812
SFO,August,2005,11598,2638,139683,22.74530091395068
SLC,August,2005,14630,2206,97444,15.078605604921394
ATL,September,2005,33631,4731,216147,14.067378311676727
DEN,September,2005,16297,1632,77057,10.014113026937473
IAD,September,2005,9398,1134,51294,12.066397105767185
ORD,September,2005,27474,4717,268869,17.168959743757732
SAN,September,2005,7451,1286,47963,17.25942826466246
SFO,September,2005,10765,2212,103135,20.548072457036692
SLC,September,2005,13720,1641,65728,11.960641399416911
ATL,October,2005,35282,7493,388718,21.237458193979933
DEN,October,2005,16498,1876,100663,11.371075281852345
IAD,October,2005,9262,1447,68703,15.62297559922263
ORD,October,2005,29083,3538,189068,12.16518240896744
SAN,October,2005,7641,1321,53688,17.288313048030364
SFO,October,2005,11104,2134,109836,19.21829971181556
SLC,October,2005,13962,1446,60784,10.35668242372153
ATL,November,2005,33063,7140,447832,21.595136557481172
DEN,November,2005,15317,1913,82485,12.489390872886336
IAD,November,2005,7408,1021,53799,13.782397408207345
ORD,November,2005,28453,6466,383760,22.725195937159526
SAN,November,2005,7239,976,38247,13.482525210664456
SFO,November,2005,10584,2495,131876,23.57331821617536
SLC,November,2005,12970,1947,75354,15.011565150346954
ATL,December,2005,33632,9899,558590,29.43327783063749
DEN,December,2005,16404,4293,206363,26.170446232626187
IAD,December,2005,7494,1466,72899,19.56231651988257
ORD,December,2005,29229,9479,609512,32.43012077046769
SAN,December,2005,7590,1810,77392,23.847167325428195
SFO,December,2005,10972,4307,311645,39.25446591323369
SLC,December,2005,11469,2644,113820,23.053448426192343
ATL,January,2006,33274,8109,548821,24.370379275109695
DEN,January,2006,17971,2958,140028,16.4598519837516
IAD,January,2006,6917,1458,91215,21.07850224085586
ORD,January,2006,30828,7177,441216,23.280783703127028
SAN,January,2006,7598,1251,55793,16.4648591734667
SFO,January,2006,10727,2693,140948,25.104875547683413
SLC,January,2006,11423,1954,80591,17.10583909655957
ATL,February,2006,30438,8013,433210,26.325645574610686
DEN,February,2006,16751,3839,189747,22.918034744194376
IAD,February,2006,7078,1233,72634,17.420175190731847
ORD,February,2006,28150,6545,398509,23.25044404973357
SAN,February,2006,6962,1740,80502,24.992818155702384
SFO,February,2006,9742,3048,161355,31.287210018476696
SLC,February,2006,10375,2200,94857,21.204819277108435
ATL,March,2006,34988,7870,386308,22.493426317594604
DEN,March,2006,19193,4622,238803,24.081696451831398
IAD,March,2006,8256,1353,79756,16.388081395348838
ORD,March,2006,31685,9608,696455,30.32349692283415
SAN,March,2006,7882,1897,80736,24.067495559502664
SFO,March,2006,10964,4117,240083,37.55016417365925
SLC,March,2006,11997,2636,130539,21.972159706593313
ATL,April,2006,33251,7104,381112,21.3647709843313
DEN,April,2006,18308,2744,129465,14.987983395237055
IAD,April,2006,7963,1389,76429,17.443174682908452
ORD,April,2006,30698,7637,510107,24.87784220470389
SAN,April,2006,7468,1667,69846,22.32190680235672
SFO,April,2006,10824,3413,186825,31.531781226903178
SLC,April,2006,11402,1486,69039,13.032801262936328
ATL,May,2006,34291,7534,375984,21.97077950482634
DEN,May,2006,19932,3114,153881,15.623118603251054
IAD,May,2006,8085,1525,85115,18.86209029066172
ORD,May,2006,31976,8995,684128,28.13047285464098
SAN,May,2006,7896,1343,57310,17.008611955420466
SFO,May,2006,11105,2347,113322,21.134624043223774
SLC,May,2006,11783,1163,53456,9.87015191377408
ATL,June,2006,33787,8470,559269,25.06881344895966
DEN,June,2006,20096,4082,222066,20.3125
IAD,June,2006,7838,2188,176243,27.915284511354937
ORD,June,2006,31286,8121,530444,25.957297193632932
SAN,June,2006,7893,1656,75457,20.980615735461804
SFO,June,2006,11128,3107,162368,27.920560747663554
SLC,June,2006,12155,1926,89041,15.845331139448787
ATL,July,2006,35419,8836,485791,24.947062311188912
DEN,July,2006,20934,4157,243299,19.857647845610014
IAD,July,2006,8018,2292,167129,28.585682215016213
ORD,July,2006,31890,8457,617666,26.519285042333017
SAN,July,2006,8173,1790,80340,21.901382601248013
SFO,July,2006,11625,2561,155629,22.03010752688172
SLC,July,2006,12847,1799,82120,14.003269245738304
ATL,August,2006,35276,9726,587253,27.57115319197188
DEN,August,2006,21498,3708,193388,17.24811610382361
IAD,August,2006,8330,1750,110378,21.008403361344538
ORD,August,2006,32338,8769,595892,27.11670480549199
SAN,August,2006,8231,1633,69869,19.839630664560808
SFO,August,2006,11850,3212,167448,27.10548523206751
SLC,August,2006,12942,1742,78206,13.460052542110956
ATL,September,2006,32927,11991,721245,36.4169222826252
DEN,September,2006,19568,3547,174510,18.12653311529027
IAD,September,2006,7744,1640,105623,21.17768595041322
ORD,September,2006,30768,9052,681860,29.420176807072284
SAN,September,2006,7593,1391,57774,18.319504807059133
SFO,September,2006,10821,2472,131969,22.84446908788467
SLC,September,2006,11784,1650,76438,14.0020366598778
ATL,October,2006,34692,13124,744230,37.83004727314655
DEN,October,2006,19935,4163,211145,20.882869325307247
IAD,October,2006,8451,1865,118909,22.068394272867117
ORD,October,2006,32244,10412,816319,32.291278997642976
SAN,October,2006,7912,1698,67715,21.461071789686553
SFO,October,2006,11231,2894,156059,25.767963671979345
SLC,October,2006,11997,1856,89479,15.470534300241729
ATL,November,2006,33691,8290,397996,24.60597785758808
DEN,November,2006,18580,2866,141512,15.42518837459634
IAD,November,2006,8621,2069,109253,23.9995360167034
ORD,November,2006,30537,7536,489666,24.67825916101778
SAN,November,2006,7519,1332,60059,17.715121691714327
SFO,November,2006,10723,3052,181229,28.462184090273247
SLC,November,2006,11383,1722,76030,15.127822190986558
ATL,December,2006,32795,6606,346376,20.14331452965391
DEN,December,2006,19599,4774,271849,24.358385631919997
IAD,December,2006,8710,2067,121146,23.731343283582092
ORD,December,2006,31399,11592,859189,36.91837319659862
SAN,December,2006,7788,1688,80608,21.6743708269132
SFO,December,2006,11065,3398,194187,30.709444193402618
SLC,December,2006,12174,2890,155215,23.739116149170364
ATL,January,2007,32266,6653,375734,20.619227669993183
DEN,January,2007,20057,5790,302943,28.86772697811238
IAD,January,2007,8572,1822,99051,21.25524965002333
ORD,January,2007,31839,10628,737403,33.38044536574641
SAN,January,2007,7674,1579,70215,20.57597081052906
SFO,January,2007,10928,2599,132770,23.782942898975108
SLC,January,2007,12187,3618,201790,29.687371789611884
ATL,February,2007,29766,6802,373702,22.851575623194247
DEN,February,2007,18321,5241,282526,28.60651711151138
IAD,February,2007,7691,2087,153171,27.135613054219217
ORD,February,2007,28988,10968,748144,37.83634607423762
SAN,February,2007,6920,1683,80792,24.320809248554916
SFO,February,2007,9938,3589,212548,36.113906218555044
SLC,February,2007,11011,2780,140133,25.247479792934342
ATL,March,2007,34033,6341,356621,18.631916081450356
DEN,March,2007,20757,3869,209283,18.639495110083345
IAD,March,2007,8672,2231,129026,25.726476014760145
ORD,March,2007,32447,10591,840344,32.640922119148144
SAN,March,2007,7824,1365,63475,17.446319018404907
SFO,March,2007,11223,2011,102135,17.918560099795062
SLC,March,2007,12661,1914,86566,15.117289313640313
ATL,April,2007,32891,5796,305789,17.621841841233163
DEN,April,2007,19579,3641,178213,18.596455385872616
IAD,April,2007,8239,1971,119473,23.92280616579682
ORD,April,2007,31292,9673,720092,30.912054199156337
SAN,April,2007,7440,1379,63152,18.53494623655914
SFO,April,2007,10976,2509,126057,22.858965014577258
SLC,April,2007,11715,1245,56695,10.627400768245838
ATL,May,2007,34178,5471,268184,16.00737316402364
DEN,May,2007,20240,4156,219193,20.533596837944664
IAD,May,2007,8233,1695,86568,20.587878051742987
ORD,May,2007,32385,7340,442090,22.664813957078895
SAN,May,2007,7925,1273,59700,16.063091482649842
SFO,May,2007,11548,2893,156387,25.051957048839625
SLC,May,2007,11625,1304,61615,11.217204301075268
ATL,June,2007,35978,10622,704474,29.52359775418311
DEN,June,2007,20269,5018,293581,24.757018106468006
IAD,June,2007,7511,2258,151636,30.0625748901611
ORD,June,2007,31528,9438,693494,29.935295610251206
SAN,June,2007,8339,1905,100836,22.84446576328097
SFO,June,2007,11856,3601,205254,30.372807017543856
SLC,June,2007,12934,2639,125792,20.40358744394619
ATL,July,2007,36992,11931,768799,32.25291955017301
DEN,July,2007,21356,4857,266870,22.743023038022102
IAD,July,2007,7334,2040,130339,27.81565312244341
ORD,July,2007,32047,8364,559444,26.099166848690984
SAN,July,2007,8718,1931,102580,22.149575590731818
SFO,July,2007,12345,3904,226945,31.62413932766302
SLC,July,2007,13570,2913,135307,21.466470154753132
ATL,August,2007,37284,10970,700967,29.42280871151164
DEN,August,2007,21412,5048,280545,23.57556510368018
IAD,August,2007,7345,1882,126312,25.622872702518716
ORD,August,2007,32483,10068,692508,30.99467413724102
SAN,August,2007,8854,1930,98173,21.79805737519765
SFO,August,2007,12456,3820,215234,30.667951188182403
SLC,August,2007,13564,2614,121108,19.271601297552344
ATL,September,2007,34271,6862,431373,20.022759767733653
DEN,September,2007,19261,2571,123801,13.3482166034993
IAD,September,2007,6679,1023,53661,15.316664171283126
ORD,September,2007,30436,5906,373053,19.404652385333158
SAN,September,2007,8389,1300,56961,15.496483490284895
SFO,September,2007,11567,2893,154537,25.010806604996976
SLC,September,2007,12015,1704,72577,14.182272159800249
ATL,October,2007,36942,9107,482804,24.652157435980726
DEN,October,2007,19967,3084,143385,15.44548505033305
IAD,October,2007,6954,1410,76691,20.276100086281275
ORD,October,2007,32012,7030,417112,21.960514806947394
SAN,October,2007,8660,1607,67934,18.556581986143186
SFO,October,2007,12042,3672,213570,30.493273542600896
SLC,October,2007,12282,1648,69486,13.418010096075559
ATL,November,2007,34674,5914,320368,17.056007383053583
DEN,November,2007,19334,3144,141665,16.26150822385435
IAD,November,2007,6895,1233,67211,17.882523567802757
ORD,November,2007,30041,7107,428156,23.65766785393296
SAN,November,2007,8202,1582,69423,19.28797854181907
SFO,November,2007,11603,3108,185504,26.78617598896837
SLC,November,2007,11871,1293,55112,10.892089967146829
ATL,December,2007,34592,10483,567731,30.304694727104533
DEN,December,2007,20208,7484,431513,37.034837688044334
IAD,December,2007,6906,2172,151185,31.4509122502172
ORD,December,2007,30253,12652,982876,41.82064588635838
SAN,December,2007,8357,2325,115000,27.82098839296398
SFO,December,2007,11940,4358,280774,36.49916247906197
SLC,December,2007,12354,4286,217182,34.69321677189574
ATL,January,2008,33881,6570,349786,19.39139930934742
DEN,January,2008,19482,4540,241072,23.30356226260138
IAD,January,2008,6792,1597,99323,23.512956419316843
ORD,January,2008,29936,11387,951321,38.03781400320684
SAN,January,2008,8031,2165,106998,26.9580376042834
SFO,January,2008,11560,5131,415837,44.38581314878893
SLC,January,2008,12364,3497,198649,28.283726949207377
ATL,February,2008,32357,8657,514029,26.75464350835986
DEN,February,2008,18667,4474,233139,23.967429153050837
IAD,February,2008,6411,1693,112062,26.407736702542508
ORD,February,2008,27987,11011,841794,39.34326651659699
SAN,February,2008,7478,1891,97130,25.28751002941963
SFO,February,2008,10817,3611,242759,33.38263843949339
SLC,February,2008,11681,2615,128948,22.38678195359986
ATL,March,2008,36089,10144,627830,28.108287843941365
DEN,March,2008,20604,4508,222103,21.87924674820423
IAD,March,2008,6886,1630,94936,23.671216961951785
ORD,March,2008,30085,8945,654530,29.73242479641017
SAN,March,2008,8080,1715,75912,21.225247524752476
SFO,March,2008,11810,3010,153775,25.486875529212533
SLC,March,2008,12685,2282,100343,17.98975167520694
ATL,April,2008,34623,7157,415346,20.671230107154205
DEN,April,2008,19664,3488,160179,17.737998372660698
IAD,April,2008,6396,1415,86536,22.12320200125078
ORD,April,2008,30003,7461,509144,24.86751324867513
SAN,April,2008,8005,1491,63002,18.625858838226108
SFO,April,2008,11542,2573,127645,22.292496967596602
SLC,April,2008,11653,1315,57613,11.284647730198232
ATL,May,2008,34572,5217,256003,15.090246442207567
DEN,May,2008,20765,4782,221523,23.02913556465206
IAD,May,2008,6521,1215,71570,18.632111639319124
ORD,May,2008,30757,7113,472967,23.126442760997495
SAN,May,2008,8350,1996,79506,23.904191616766468
SFO,May,2008,12115,3266,167933,26.958316137020223
SLC,May,2008,11584,1256,54608,10.842541436464089
ATL,June,2008,35413,7670,443304,21.658712902041625
DEN,June,2008,21335,5585,291491,26.177642371689714
IAD,June,2008,6501,2200,167188,33.840947546531304
ORD,June,2008,30542,11952,882293,39.13299718420536
SAN,June,2008,8350,2325,112307,27.844311377245507
SFO,June,2008,12304,4861,301876,39.50747724317295
SLC,June,2008,12202,1966,93011,16.112112768398624
ATL,July,2008,36434,9817,816935,26.944612175440525
DEN,July,2008,22040,4311,249919,19.55989110707804
IAD,July,2008,6764,1859,129702,27.483737433471315
ORD,July,2008,31602,8600,572383,27.213467502056833
SAN,July,2008,8613,1516,82550,17.601300359921048
SFO,July,2008,12842,3904,252590,30.40024918237035
SLC,July,2008,12476,1547,84944,12.39980763065085
ATL,August,2008,35578,7673,484245,21.566698521558266
DEN,August,2008,21762,4221,233505,19.396195202646815
IAD,August,2008,6559,1413,93034,21.54291812776338
ORD,August,2008,30773,5713,396248,18.564975790465667
SAN,August,2008,8346,1437,73938,17.21782890007189
SFO,August,2008,12646,3234,195468,25.57330381148189
SLC,August,2008,12382,1390,72522,11.225973186884186
ATL,September,2008,33099,4556,216088,13.76476630713919
DEN,September,2008,19141,2241,103004,11.707852254323182
IAD,September,2008,5814,1146,59043,19.711042311661505
ORD,September,2008,28251,6008,398467,21.266503840572014
SAN,September,2008,7131,710,30087,9.956527836208105
SFO,September,2008,11323,1976,114150,17.451205510907002
SLC,September,2008,10479,677,30528,6.460540127874798
ATL,October,2008,34700,6603,351264,19.028818443804035
DEN,October,2008,19609,2189,98323,11.163241368759243
IAD,October,2008,5914,848,46841,14.338856949611092
ORD,October,2008,28834,4157,238524,14.417007699243948
SAN,October,2008,7364,765,33287,10.388375882672461
SFO,October,2008,11657,2098,109368,17.997769580509566
SLC,October,2008,10617,728,30483,6.8569275689931235
ATL,November,2008,33872,7851,441422,23.17843646669816
DEN,November,2008,18588,2265,110748,12.185280826339575
IAD,November,2008,5619,858,47367,15.269620928990923
ORD,November,2008,25294,4108,249237,16.24100577211987
SAN,November,2008,6917,898,47169,12.982506867138932
SFO,November,2008,10753,2321,142297,21.58467404445271
SLC,November,2008,10095,847,38177,8.390292223873203
ATL,December,2008,33903,11791,651758,34.77863315930744
DEN,December,2008,19813,6338,368097,31.98909806692576
IAD,December,2008,5845,1494,101084,25.560307955517537
ORD,December,2008,26388,9506,780636,36.0239502804305
SAN,December,2008,7085,2265,132395,31.96894848270995
SFO,December,2008,11210,4277,287513,38.153434433541484
SLC,December,2008,10859,3216,204066,29.61598673911042
ATL,January,2009,33320,8463,407662,25.399159663865547
DEN,January,2009,19447,3863,186948,19.864246413328534
IAD,January,2009,5556,980,53917,17.63858891288697
ORD,January,2009,25985,6255,392162,24.071579757552435
SAN,January,2009,6919,1127,51843,16.288480994363347
SFO,January,2009,10948,2669,165292,24.37888198757764
SLC,January,2009,11051,1840,89933,16.650076916116188
ATL,February,2009,30762,5636,297706,18.321305506794097
